epoch,loss,accuracy,val_loss,val_accuracy
0,0.736355543,0.436619729,0.669370174,0.75
1,0.661762476,0.591549277,0.694251716,0.5
2,0.640233338,0.690140843,0.723158598,0.375
3,0.645184696,0.619718313,0.731109381,0.375
4,0.620035708,0.591549277,0.717750132,0.375
5,0.591675282,0.690140843,0.670401454,0.5
6,0.565606594,0.816901386,0.63762033,0.625
7,0.530650198,0.873239458,0.619972169,0.75
8,0.529637694,0.845070422,0.619276822,0.75
9,0.463060528,0.92957747,0.615760982,0.75
10,0.440866709,0.971830964,0.602295101,0.75
11,0.431022614,0.943661988,0.581361055,0.875
12,0.366714746,0.957746506,0.554113746,0.75
13,0.336731017,0.971830964,0.527187884,0.875
14,0.300711095,0.971830964,0.509715736,0.875
15,0.282086849,0.971830964,0.508835614,0.875
16,0.241224766,0.985915482,0.50162077,0.875
17,0.200716227,1,0.485540807,0.875
18,0.185101509,1,0.447330892,1
19,0.184208557,0.985915482,0.425521821,1
20,0.169035733,1,0.400402308,0.875
21,0.153712615,0.985915482,0.396455646,1
22,0.120008588,1,0.401254058,1
23,0.106392123,1,0.408033997,1
24,0.099941202,0.985915482,0.397479981,1
25,0.076881453,1,0.375724822,1
26,0.065955944,1,0.346781015,1
27,0.077491999,0.985915482,0.33525914,1
28,0.073857024,1,0.334794164,1
29,0.059692986,1,0.339558721,1
