epoch,loss,accuracy,val_loss,val_accuracy
0,1.045589089,0.478603035,1.021242738,0.506963789
1,0.983667374,0.519429386,0.97125119,0.506963789
2,0.907657385,0.550909996,0.866383076,0.55153203
3,0.781659186,0.640432835,0.686598599,0.682451248
4,0.591750205,0.769306421,0.447202563,0.888579369
5,0.442457169,0.846532226,0.303127974,0.935933173
6,0.343516469,0.879488468,0.23084417,0.933147609
7,0.323953807,0.887358606,0.189523801,0.952646255
8,0.257229805,0.904082656,0.172767952,0.949860752
9,0.265887737,0.901131332,0.160509706,0.955431759
10,0.23335728,0.925233662,0.153074712,0.955431759
11,0.224908888,0.918347299,0.143580794,0.958217263
12,0.219972372,0.917363524,0.139678314,0.963788331
13,0.229516774,0.913428426,0.133855194,0.966573834
14,0.191777378,0.934579432,0.129109144,0.969359338
15,0.221471876,0.915395975,0.15622209,0.949860752
16,0.192964822,0.934087574,0.131233513,0.969359338
17,0.187690213,0.931628108,0.122544505,0.969359338
18,0.173094511,0.937530756,0.131283641,0.966573834
19,0.177514628,0.936546981,0.121543765,0.966573834
20,0.183278784,0.9331038,0.12432231,0.966573834
21,0.189682439,0.928184927,0.12429288,0.966573834
22,0.176738262,0.942941487,0.132120892,0.969359338
23,0.165522769,0.942941487,0.12167538,0.963788331
24,0.163816288,0.937038839,0.124980085,0.966573834
25,0.163272381,0.940973938,0.118170239,0.969359338
26,0.169552624,0.938514531,0.122729316,0.966573834
27,0.147184566,0.949335933,0.125969991,0.963788331
28,0.134201333,0.956222355,0.12118201,0.963788331
29,0.140777454,0.949335933,0.136605173,0.961002767
