dataset,model,accuracy,val_accuracy,test_accuracy
histone,cnn_deepdbp,0.5128425359725952,0.5122494697570801,0.5122494697570801
histone,cnn_nguyen_2_conv2d,0.9304879307746887,0.7870824337005615,0.7888641357421875
histone,cnn_nguyen_conv1d_2_conv2d,0.9899742007255554,0.8004454374313354,0.799109160900116
histone,cnn_zeng_2_conv2d,0.7820109128952026,0.7692650556564331,0.7510022521018982
histone,cnn_zeng_3_conv2d,0.8381552696228027,0.7634744048118591,0.7465478777885437
histone,cnn_zeng_4_conv2d,0.9593240022659302,0.799109160900116,0.7973273992538452
histone,cnn_zeng_4_conv2d_l2,0.8225914239883423,0.7995545864105225,0.799109160900116
histone,deepram_conv1d_embed,0.8894299864768982,0.8026726245880127,0.8115813136100769
histone,deepram_conv1d_onehot,0.8761577606201172,0.8191536664962769,0.8231625556945801
histone,deepram_conv1d_recurrent_embed,0.9300104975700378,0.8302895426750183,0.8240534663200378
histone,deepram_conv1d_recurrent_onehot,0.9280053377151489,0.890868604183197,0.8712694644927979
histone,deepram_recurrent_embed,0.8651770949363708,0.8734966516494751,0.8565701842308044
histone,deepram_recurrent_onehot,0.8932493329048157,0.890868604183197,0.8654788136482239
motif_discovery,cnn_deepdbp,0.5010983943939209,0.4940579831600189,0.49931350350379944
motif_discovery,cnn_nguyen_2_conv2d,0.6929062008857727,0.6721739172935486,0.6585278511047363
motif_discovery,cnn_nguyen_conv1d_2_conv2d,0.7621129155158997,0.7214492559432983,0.7124942541122437
motif_discovery,cnn_zeng_2_conv2d,0.6471167206764221,0.645652174949646,0.6435011625289917
motif_discovery,cnn_zeng_3_conv2d,0.767124354839325,0.6960869431495667,0.686864972114563
motif_discovery,cnn_zeng_4_conv2d,0.923379123210907,0.6852173805236816,0.6805949807167053
motif_discovery,cnn_zeng_4_conv2d_l2,0.7020289897918701,0.7011594176292419,0.6976659297943115
motif_discovery,deepram_conv1d_embed,0.7809992432594299,0.75,0.7396109700202942
motif_discovery,deepram_conv1d_onehot,0.7605568170547485,0.7656521797180176,0.7609458565711975
motif_discovery,deepram_conv1d_recurrent_embed,0.9313730001449585,0.7653623223304749,0.7563768029212952
motif_discovery,deepram_conv1d_recurrent_onehot,0.7971548438072205,0.7836231589317322,0.7768192291259766
motif_discovery,deepram_recurrent_embed,0.8176963925361633,0.7456521987915039,0.741777241230011
motif_discovery,deepram_recurrent_onehot,0.7782914042472839,0.7707246541976929,0.7683829069137573
splice,cnn_deepdbp,0.9665518999099731,0.9637883305549622,0.9310777187347412
splice,cnn_nguyen_2_conv2d,0.9955730438232422,0.9721448421478271,0.9498746991157532
splice,cnn_nguyen_conv1d_2_conv2d,0.9901623129844666,0.9637883305549622,0.9385964870452881
splice,cnn_zeng_2_conv2d,0.7329070568084717,0.7325905561447144,0.640350878238678
splice,cnn_zeng_3_conv2d,0.9754058122634888,0.8635097742080688,0.8483709096908569
splice,cnn_zeng_4_conv2d,0.9975405931472778,0.9470751881599426,0.8997493982315063
splice,cnn_zeng_4_conv2d_l2,0.9867191314697266,0.9442896842956543,0.9473684430122375
splice,deepram_conv1d_embed,0.9921298623085022,0.844011127948761,0.8433583974838257
splice,deepram_conv1d_onehot,0.9498278498649597,0.8300835490226746,0.8408521413803101
splice,deepram_conv1d_recurrent_embed,0.9995081424713135,0.9721448421478271,0.9436089992523193
splice,deepram_conv1d_recurrent_onehot,0.9926217198371887,0.9470751881599426,0.9373433589935303
splice,deepram_recurrent_embed,0.9975405931472778,0.9080780148506165,0.8771929740905762
splice,deepram_recurrent_onehot,0.9690113067626953,0.9164345264434814,0.927318274974823
